time,temp,dpTemp,RH,WDIR,VIZ,Label
2020/1/1-1,11.4,6.7,73,60,10.51,1
2020/1/1-2,11.3,6.8,74,50,9.94,1
2020/1/1-3,11.4,6.9,74,30,9.89,1
2020/1/1-4,11.3,6.8,74,40,10.41,1
2020/1/1-5,11.5,7,74,50,11.99,1
2020/1/1-6,12.1,7.1,71,40,13.73,1
2020/1/1-7,12.1,7,71,30,15.06,1
2020/1/1-8,12.9,7.2,68,30,16.65,1
2020/1/1-9,14.3,7.8,65,40,19.5,1
2020/1/1-10,15.2,8.2,63,40,23.06,1
2020/1/1-11,16.9,9.5,62,30,24.52,1
2020/1/1-12,18.5,10.1,58,50,25.74,1
2020/1/1-13,18.9,10.1,57,50,26.21,1
2020/1/1-14,18.1,10,59,40,24.55,1
2020/1/1-15,18.7,10.4,58,50,26.46,1
2020/1/1-16,17.8,10.2,61,60,26.17,1
2020/1/1-17,16.3,10,66,70,25.08,1
2020/1/1-18,14.6,9.6,72,70,23.26,1
2020/1/1-19,13.6,9.6,77,60,20.07,1
2020/1/1-20,13.5,9.8,78,40,19.84,1
2020/1/1-21,13.6,9.7,77,40,19.55,1
2020/1/1-22,13.3,9.6,78,40,17.98,1
2020/1/1-23,13.1,9.4,78,30,14.18,1
2020/1/1-24,12.6,9.3,80,30,12.98,1
2020/1/2-1,12.4,9.2,81,40,18.21,1
2020/1/2-2,12.3,9.1,81,50,20.15,1
2020/1/2-3,13.1,9.6,79,20,20.96,1
2020/1/2-4,13.1,9.8,80,20,22.08,1
2020/1/2-5,13.9,10.3,79,20,18.42,1
2020/1/2-6,14.1,9.9,76,20,16.87,1
2020/1/2-7,14.2,10.1,76,20,19.1,1
2020/1/2-8,15.1,10.3,73,10,20.77,1
2020/1/2-9,16.2,10.7,70,10,19.58,1
2020/1/2-10,17.1,10.9,67,360,18.39,1
2020/1/2-11,18.2,11.2,64,360,18.15,1
2020/1/2-12,20,12.1,60,20,19.08,1
2020/1/2-13,21.2,12.2,56,50,25.97,1
2020/1/2-14,21.8,12.2,54,80,24.02,1
2020/1/2-15,20.3,12.8,62,100,26.38,1
2020/1/2-16,18.7,12.5,67,100,28.82,1
2020/1/2-17,17.1,12,72,90,25.05,1
2020/1/2-18,16,11.9,77,80,23.68,1
2020/1/2-19,15.5,12,80,80,20.44,1
2020/1/2-20,14.8,11.6,81,70,19.36,1
2020/1/2-21,14.7,11.8,83,60,17.3,1
2020/1/2-22,14.8,11.8,82,40,17.2,1
2020/1/2-23,14.6,11.9,84,40,14.29,1
2020/1/2-24,14.3,11.8,85,30,12.13,1
2020/1/3-1,14.3,11.9,85,30,9.68,1
2020/1/3-2,13.8,11.3,85,50,9.03,1
2020/1/3-3,14.4,12,85,10,7.75,1
2020/1/3-4,15.1,12.7,86,350,5.3,1
2020/1/3-5,14,12,88,20,4.11,1
2020/1/3-6,14.5,12.3,87,360,4.34,1
2020/1/3-7,14.3,12.4,88,360,4.48,1
2020/1/3-8,15.3,13.7,90,0,5.34,1
2020/1/3-9,17.3,14.1,81,20,6.66,1
2020/1/3-10,18.5,13.8,74,10,5.26,1
2020/1/3-11,19.4,13.6,69,10,7.12,1
2020/1/3-12,21.3,13.9,63,10,10.66,1
2020/1/3-13,23.2,14.2,57,60,19.05,1
2020/1/3-14,22.2,14.6,62,110,23.41,1
2020/1/3-15,21.6,13.9,62,100,28.31,1
2020/1/3-16,20.7,13.8,65,100,27.44,1
2020/1/3-17,18.9,13.3,70,90,28.59,1
2020/1/3-18,17.2,13,76,90,26.55,1
2020/1/3-19,16.8,13.2,79,80,22.69,1
2020/1/3-20,16.5,13,80,70,21.71,1
2020/1/3-21,15.9,12.8,82,80,19.01,1
2020/1/3-22,15.6,12.7,83,80,17.95,1
2020/1/3-23,15.6,12.4,81,60,21.81,1
2020/1/3-24,15.4,12.6,83,50,18,1
2020/1/4-1,15.3,13,86,30,11.75,1
2020/1/4-2,15.5,13.3,87,10,8.12,1
2020/1/4-3,15.9,14,88,360,5.49,1
2020/1/4-4,15.8,13.7,87,360,5.81,1
2020/1/4-5,15.5,13.6,88,20,4.3,1
2020/1/4-6,15.5,13.7,89,10,4.53,1
2020/1/4-7,15.4,13.5,88,10,3.97,1
2020/1/4-8,16.3,15,92,10,4.36,1
2020/1/4-9,18.3,15.1,82,10,6.11,1
2020/1/4-10,19.4,15.1,76,20,6.71,1
2020/1/4-11,20.7,14.6,68,60,10.78,1
2020/1/4-12,21.6,14.7,65,40,14.83,1
2020/1/4-13,22.6,14.9,62,70,17.93,1
2020/1/4-14,23.1,15.1,61,60,15.31,1
2020/1/4-15,22.4,15.2,64,110,17.55,1
2020/1/4-16,21,14.6,67,100,17.97,1
2020/1/4-17,19,13.8,72,90,20.27,1
2020/1/4-18,18,13.7,76,80,22.08,1
2020/1/4-19,17.4,13.7,79,60,22.81,1
2020/1/4-20,17,13.7,81,70,16.69,1
2020/1/4-21,17.1,13.8,81,60,13.81,1
2020/1/4-22,16.5,13.7,84,40,10.86,1
2020/1/4-23,17,13.8,81,60,9.22,1
2020/1/4-24,17,13.7,81,60,7.47,1
2020/1/5-1,16.9,13.6,81,60,5.39,1
2020/1/5-2,16.8,13.6,81,60,5.37,1
2020/1/5-3,16.5,13.4,82,60,6.36,1
2020/1/5-4,16.1,13.3,83,70,5.81,1
